,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
115,1,0,1,5,2,0,3,5,6,2,6,1,0,0,3,2,1,0,0,2,3,2,5,3,5,9,16,25
116,3,1,1,4,3,5,3,0,12,2,5,7,0,0,0,2,8,1,0,2,0,1,0,2,5,11,20,16
117,3,0,1,4,1,8,3,3,4,4,5,7,0,0,3,2,2,1,1,2,3,2,5,3,5,13,20,53
118,5,1,1,4,2,0,0,0,7,4,5,7,3,0,3,2,2,1,0,7,2,0,1,2,5,10,17,23
119,6,1,1,4,1,4,3,5,7,2,3,7,0,3,3,2,6,0,0,2,0,1,1,2,5,1,10,35
120,0,1,1,2,3,6,3,1,7,2,5,1,0,0,3,2,2,2,4,2,1,0,0,2,5,1,8,55
121,6,1,0,4,3,7,3,5,9,2,5,7,0,0,3,2,8,0,1,2,3,2,5,3,5,0,21,46
122,1,1,1,4,0,3,3,1,9,4,5,7,0,3,0,4,8,1,0,2,0,1,3,1,5,12,16,10
123,3,0,1,4,3,14,3,1,2,6,5,7,0,3,3,4,8,1,0,7,0,1,0,2,5,4,10,30
124,4,0,1,4,2,5,3,5,7,4,5,7,0,0,3,2,8,1,2,7,2,1,3,2,3,2,17,30
125,6,1,1,1,4,0,3,3,6,6,5,0,0,3,0,2,8,1,1,2,3,2,5,3,5,13,20,1
126,0,1,1,4,3,7,3,5,7,2,5,1,0,3,3,4,8,1,0,2,0,1,1,2,5,9,5,35
127,3,0,1,1,2,0,3,5,7,2,5,0,0,0,0,2,8,1,0,2,1,1,1,2,5,12,21,55
