,Accident_severity
1438,Slight Injury
1439,Slight Injury
1440,Slight Injury
1441,Slight Injury
1442,Serious Injury
1443,Serious Injury
1444,Slight Injury
1445,Slight Injury
1446,Slight Injury
1447,Slight Injury
1448,Slight Injury
1449,Slight Injury
1450,Slight Injury
1451,Slight Injury
1452,Slight Injury
1453,Slight Injury
1454,Slight Injury
1455,Slight Injury
1456,Slight Injury
1457,Slight Injury
1458,Slight Injury
1459,Slight Injury
1460,Slight Injury
1461,Slight Injury
1462,Slight Injury
1463,Slight Injury
1464,Slight Injury
1465,Slight Injury
1466,Slight Injury
1467,Slight Injury
1468,Slight Injury
1469,Slight Injury
1470,Serious Injury
1471,Slight Injury
1472,Slight Injury
1473,Slight Injury
1474,Slight Injury
1475,Slight Injury
1476,Slight Injury
1477,Slight Injury
1478,Slight Injury
1479,Slight Injury
1480,Slight Injury
1481,Slight Injury
1482,Slight Injury
1483,Slight Injury
1484,Slight Injury
1485,Slight Injury
1486,Slight Injury
1487,Slight Injury
1488,Serious Injury
1489,Serious Injury
1490,Slight Injury
1491,Slight Injury
1492,Slight Injury
1493,Slight Injury
1494,Slight Injury
